station_id,station_name,river_name,longitude,latitude,forecast_issue_date,window_begin,window_end,avg_bankfull_percentage,avg_moderate_percentage,avg_severe_percentage,trigger_bankfull,trigger_moderate,trigger_severe,trigger_status
32,Limpopo_em_Mapai,Limpopo,31.925,-22.825,3/4/14,3/5/14,3/7/14,0.666666667,0,0,0.1,,,Bankfull
33,Limpopo__Combomune,Limpopo,32.425,-23.475,3/4/14,3/5/14,3/7/14,1,0,0,0.85,,0.1,Bankfull
35,Limpopo_em_Chokwe,Limpopo,33.025,-24.525,3/4/14,3/5/14,3/7/14,0.606060606,0,0,0.34,,0.1,Bankfull
36,Limpopo_em_Sicacate,Limpopo,33.525,-24.725,3/4/14,3/5/14,3/7/14,0.909090909,0,0,0.88,,,Bankfull
47,franca,Save,34.525,-21.125,3/4/14,3/5/14,3/7/14,0,0,0,0.34,0.07,,Not Exceeded
86,massangena,Save,32.975,-21.525,3/4/14,3/5/14,3/7/14,0,0,0,0.52,0.22,0.28,Not Exceeded
90,gurue,Licungo,36.925,-15.475,3/4/14,3/5/14,3/7/14,0,0,0,,0.07,,Not Exceeded
91,mocuba,Licungo,37.025,-16.825,3/4/14,3/5/14,3/7/14,0,0,0,,0.58,0.19,Not Exceeded
456,goonda,Buzi,33.875,-19.875,3/4/14,3/5/14,3/7/14,0,0,0,,,0.28,Not Exceeded
