TBL_ID,Period,SCR_MN,SCR_ENG,CODE1,SCR_MN1,SCR_ENG1,CODE2,SCR_MN2,SCR_ENG2,DTVAL_CO
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,181,Завхан,Zavkhan,,,,4174
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,182,Говь-Алтай,Govi-Altai,,,,2380
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,183,Баян-Өлгий,Bayan-Ulgii,,,,7458
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,184,Ховд,Khovd,,,,3570
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,185,Увс,Uvs,,,,4376
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,261,Орхон,Orkhon,,,,757
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,262,Өвөрхангай,Uvurkhangai,,,,5124
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,263,Булган,Bulgan,,,,2970
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,264,Баянхонгор,Bayankhongor,,,,3420
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,265,Архангай,Arkhangai,,,,5008
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,267,Хөвсгөл,Khuvsgul,,,,6208
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,341,Төв,Tuv,,,,5819
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,342,Говьсүмбэр,Govisumber,,,,216
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,343,Сэлэнгэ,Selenge,,,,5764
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,344,Дорноговь,Dornogovi,,,,1109
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,345,Дархан-Уул,Darkhan-Uul,,,,1490
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,346,Өмнөговь,Umnugovi,,,,1861
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,348,Дундговь,Dundgovi,,,,1234
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,421,Дорнод,Dornod,,,,2660
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,422,Сүхбаатар,Sukhbaatar,,,,2564
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,423,Хэнтий,Khentii,,,,2584
DT_NSO_1001_044V1,2019,"100 хүртэл малтай	",up to 100,511,Улаанбаатар,Ulaanbaatar,,,,3666
