,forecast issue date,station name,forecasted date,lead time,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
489,2014-02-28,dombe,2014-03-06,5,141.375,169.78125,152.1875,154.875,149.96875,126.84375,149.09375,164.0625,141.25,115.78125,150.40625
495,2014-02-28,espungabera,2014-03-06,5,30.875,31.40625,32.125,32.6875,30.65625,36.40625,31.125,32.25,30.59375,29.5,31.75
496,2014-02-28,espungabera,2014-03-07,6,30.21875,30.53125,31.1875,32.1875,29.8125,34.21875,30.34375,32.25,30.5,28.6875,31.03125
502,2014-02-28,franca,2014-03-06,5,637.5,592.71875,551.8125,806.5,936.78125,451.90625,614.21875,501.65625,334.21875,338.03125,660.15625
503,2014-02-28,franca,2014-03-07,6,991.6875,939.46875,859.84375,1164.0938,1243.5,485.03125,816.3125,613.21875,404.53125,337.3125,1228.0
509,2014-02-28,goonda,2014-03-06,5,414.875,457.40625,434.3125,446.09375,429.96875,421.9375,429.125,447.34375,420.46875,381.75,431.28125
510,2014-02-28,goonda,2014-03-07,6,407.9375,438.53125,427.34375,443.40625,414.53125,394.78125,413.53125,434.75,423.125,364.40625,425.46875
516,2014-02-28,gurue,2014-03-06,5,0.875,1.625,0.71875,1.34375,0.71875,0.65625,0.65625,1.21875,0.71875,0.6875,2.53125
517,2014-02-28,gurue,2014-03-07,6,1.0,2.0,0.71875,1.5625,0.5,0.40625,0.375,0.78125,0.53125,1.375,7.25
523,2014-02-28,massangena,2014-03-06,5,912.34375,872.03125,729.84375,1060.6875,1151.1562,488.5625,777.34375,590.6875,367.46875,338.96875,1018.75
524,2014-02-28,massangena,2014-03-07,6,1119.3438,1054.125,1082.2812,1252.3125,1322.75,472.6875,879.125,710.53125,613.125,332.0,1468.1562
530,2014-02-28,messalo,2014-03-06,5,500.8125,494.21875,487.65625,501.625,472.25,480.9375,486.71875,493.6875,502.78125,489.75,485.46875
531,2014-02-28,messalo,2014-03-07,6,472.28125,467.3125,460.78125,487.28125,433.59375,444.46875,461.9375,461.84375,484.375,453.59375,454.46875
537,2014-02-28,mocuba,2014-03-06,5,259.71875,326.40625,250.65625,269.0625,226.28125,241.84375,204.03125,278.5,211.625,209.53125,204.1875
538,2014-02-28,mocuba,2014-03-07,6,168.71875,210.84375,200.09375,208.5,149.78125,172.78125,133.0625,184.21875,156.09375,140.9375,167.25
546,2014-02-28,revue,2014-03-06,5,17.5625,23.4375,17.875,19.5,21.40625,14.9375,17.28125,20.03125,17.4375,14.90625,19.25
547,2014-02-28,revue,2014-03-07,6,16.8125,20.5,17.625,18.84375,19.46875,13.8125,15.875,18.21875,15.96875,13.75,18.03125
3130,2014-02-28,chire_em_megaza_mutamba,2014-03-06,5,1816.625,1828.625,1806.4688,1815.125,1821.3438,1797.0625,1818.375,1805.6875,1804.5625,1810.4062,1806.375
3131,2014-02-28,chire_em_megaza_mutamba,2014-03-07,6,1789.875,1802.1875,1781.0,1786.0312,1789.8125,1771.0312,1786.125,1777.1875,1781.5,1780.9062,1783.0938
3137,2014-02-28,chire_em_vila_bocage,2014-03-06,5,1830.4688,1842.4062,1819.1875,1828.0938,1835.9375,1810.3125,1833.3438,1818.0938,1816.25,1824.75,1820.0938
3138,2014-02-28,chire_em_vila_bocage,2014-03-07,6,1801.0312,1813.4062,1791.5312,1798.4062,1803.4688,1782.0938,1799.9062,1789.5938,1791.0938,1793.2812,1792.5625
3144,2014-02-28,limpopo__combomune,2014-03-06,5,374.40625,137.53125,599.84375,1010.21875,508.8125,129.03125,500.1875,195.5,154.15625,126.09375,205.6875
3145,2014-02-28,limpopo__combomune,2014-03-07,6,887.78125,238.375,1485.1875,1780.5938,1257.9062,198.5,970.96875,448.875,395.71875,168.46875,533.03125
3151,2014-02-28,limpopo_em_chokwe,2014-03-06,5,238.78125,188.65625,245.1875,421.9375,250.53125,183.8125,278.53125,213.15625,191.09375,171.71875,208.0625
3152,2014-02-28,limpopo_em_chokwe,2014-03-07,6,482.53125,234.59375,738.5,1217.1562,656.59375,236.375,638.96875,305.25,262.65625,206.65625,309.96875
3158,2014-02-28,limpopo_em_macaretane,2014-03-06,5,265.59375,194.6875,290.25,525.53125,289.375,192.96875,326.34375,226.96875,197.59375,177.0625,220.71875
3159,2014-02-28,limpopo_em_macaretane,2014-03-07,6,587.8125,255.71875,932.53125,1416.625,821.375,257.96875,757.09375,350.125,296.03125,221.9375,360.96875
3165,2014-02-28,limpopo_em_mapai,2014-03-06,5,666.78125,210.65625,1094.1875,1266.1875,973.0625,184.46875,735.46875,340.0625,299.21875,162.625,403.71875
