,forecast issue date,station name,forecasted date,lead time,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
3166,2014-02-28,limpopo_em_mapai,2014-03-07,6,1202.3125,345.8125,1778.3125,1883.0312,1483.4375,275.8125,1135.8125,691.53125,573.9375,212.46875,812.71875
3172,2014-02-28,limpopo_em_sicacate,2014-03-06,5,194.21875,176.125,182.96875,258.53125,194.71875,169.15625,208.875,184.65625,177.875,162.96875,184.84375
3173,2014-02-28,limpopo_em_sicacate,2014-03-07,6,267.6875,191.84375,313.125,590.0,295.65625,188.625,307.09375,220.875,204.1875,173.09375,220.875
3179,2014-02-28,limpopo_em_xaixai,2014-03-06,5,193.875,173.09375,179.15625,265.28125,191.25,167.53125,209.21875,185.25,187.78125,162.15625,188.4375
3180,2014-02-28,limpopo_em_xaixai,2014-03-07,6,245.1875,185.59375,255.4375,491.375,251.875,180.8125,268.03125,217.21875,203.53125,168.40625,216.5
3186,2014-02-28,luenhaluenha_i,2014-03-06,5,128.09375,132.03125,128.625,133.9375,131.15625,127.96875,128.46875,129.375,127.1875,127.0625,128.96875
3187,2014-02-28,luenhaluenha_i,2014-03-07,6,120.5625,127.15625,120.625,127.9375,128.71875,119.78125,121.4375,122.6875,119.15625,118.1875,122.625
3193,2014-02-28,revubue_em_chingodzi,2014-03-06,5,356.5,373.09375,344.78125,349.15625,365.90625,342.5625,358.84375,354.4375,342.46875,348.96875,345.03125
3194,2014-02-28,revubue_em_chingodzi,2014-03-07,6,342.65625,361.59375,330.0625,334.1875,349.65625,329.9375,341.8125,342.3125,330.90625,333.0,331.25
3200,2014-02-28,zambeze_em_caia_ss,2014-03-06,5,11402.1875,11527.5,11318.0,11368.469,11372.75,11344.344,11354.9375,11303.9375,11400.469,11403.219,11218.531
3201,2014-02-28,zambeze_em_caia_ss,2014-03-07,6,11085.781,11235.406,10982.719,11037.375,10992.156,11021.281,10973.875,10910.1875,11083.625,11129.0,10780.8125
3207,2014-02-28,zambeze_em_marromeu_sena_sugar,2014-03-06,5,11516.375,11633.6875,11435.0625,11485.031,11501.25,11454.781,11485.531,11436.156,11504.719,11503.4375,11376.531
3208,2014-02-28,zambeze_em_marromeu_sena_sugar,2014-03-07,6,11211.469,11347.9375,11118.406,11168.844,11143.969,11154.969,11125.156,11065.094,11213.3125,11243.156,10953.1875
3214,2014-02-28,zambeze_em_tete,2014-03-06,5,357.34375,373.625,345.5625,349.90625,366.53125,343.125,359.53125,354.96875,343.28125,349.625,345.71875
3215,2014-02-28,zambeze_em_tete,2014-03-07,6,343.40625,362.53125,330.78125,335.03125,350.34375,330.40625,342.46875,343.21875,332.34375,333.625,332.0
3221,2014-02-28,zambeze_em_zumbo,2014-03-06,5,7662.6562,8369.469,7341.5938,7795.2188,7992.9375,7191.8438,7546.75,7128.8438,7397.3438,7542.0625,7760.875
3222,2014-02-28,zambeze_em_zumbo,2014-03-07,6,7682.4688,8254.406,7243.8438,7943.1875,7663.0938,6799.5,7505.9688,7184.4062,7053.375,7121.0625,7652.5
