,forecast issue date,station name,forecasted date,lead time,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
602,2014-03-07,dombe,2014-03-08,0,144.9375,144.9375,144.9375,144.96875,144.9375,144.9375,144.9375,144.9375,144.96875,144.9375,144.9375
603,2014-03-07,dombe,2014-03-09,1,136.1875,134.09375,132.90625,138.125,133.53125,133.65625,137.53125,135.0,137.875,133.4375,134.0625
604,2014-03-07,dombe,2014-03-10,2,128.78125,122.21875,124.1875,131.71875,130.0625,125.9375,136.8125,131.78125,130.875,125.8125,125.34375
605,2014-03-07,dombe,2014-03-11,3,128.0,111.21875,120.3125,125.5625,128.84375,129.6875,145.75,135.5625,125.03125,127.84375,120.53125
606,2014-03-07,dombe,2014-03-12,4,124.125,101.78125,116.0,118.0,122.34375,129.4375,154.65625,144.71875,117.3125,124.8125,129.03125
607,2014-03-07,dombe,2014-03-13,5,118.5625,92.28125,123.4375,109.0,117.125,121.375,160.1875,144.3125,109.4375,121.03125,127.6875
608,2014-03-07,dombe,2014-03-14,6,119.40625,83.90625,119.875,103.625,114.53125,115.40625,153.0625,137.75,118.59375,119.875,119.5625
609,2014-03-07,espungabera,2014-03-13,5,29.125,26.6875,27.75,27.84375,28.59375,27.75,29.125,28.4375,27.71875,27.875,27.875
610,2014-03-07,espungabera,2014-03-14,6,31.75,25.9375,27.15625,27.28125,86.15625,27.5,28.75,28.0,27.78125,27.3125,27.25
611,2014-03-07,franca,2014-03-08,0,1151.625,1151.625,1151.625,1151.625,1151.6562,1151.625,1151.6562,1151.625,1151.6562,1151.6562,1151.5938
612,2014-03-07,franca,2014-03-09,1,1021.28125,1021.25,1021.15625,1021.5625,1021.75,1021.09375,1021.78125,1021.40625,1021.84375,1021.28125,1020.90625
613,2014-03-07,franca,2014-03-10,2,879.25,877.0625,879.78125,885.3125,882.75,876.21875,892.75,880.59375,883.59375,880.21875,875.59375
614,2014-03-07,franca,2014-03-11,3,759.125,747.25,749.4375,783.84375,769.03125,746.09375,822.4375,757.9375,775.28125,775.15625,742.9375
615,2014-03-07,franca,2014-03-12,4,672.09375,631.15625,636.03125,708.65625,711.75,652.15625,839.28125,670.21875,686.5625,722.40625,633.71875
616,2014-03-07,franca,2014-03-13,5,640.25,526.90625,545.65625,678.75,755.34375,639.625,1026.75,669.6875,601.71875,729.09375,591.8125
617,2014-03-07,franca,2014-03-14,6,698.4375,436.25,502.125,781.5,887.1875,729.40625,1371.0312,790.875,553.9375,808.78125,635.46875
618,2014-03-07,goonda,2014-03-08,0,412.5625,412.5625,412.53125,412.625,412.59375,412.53125,412.5625,412.5625,412.625,412.53125,412.5625
619,2014-03-07,goonda,2014-03-09,1,395.5625,393.84375,392.90625,397.625,393.8125,393.53125,397.375,394.5625,397.8125,393.28125,393.84375
620,2014-03-07,goonda,2014-03-10,2,382.0,375.6875,376.59375,386.125,381.9375,378.75,390.28125,384.125,385.5625,377.8125,377.875
621,2014-03-07,goonda,2014-03-11,3,373.9375,357.09375,366.8125,373.21875,376.28125,375.28125,394.4375,384.84375,373.03125,373.875,366.0
622,2014-03-07,goonda,2014-03-12,4,367.375,340.8125,357.53125,359.90625,366.59375,374.21875,402.34375,393.9375,359.8125,368.84375,372.21875
623,2014-03-07,goonda,2014-03-13,5,356.0625,324.71875,356.0625,344.53125,355.9375,361.6875,405.65625,393.1875,346.1875,358.84375,376.1875
624,2014-03-07,goonda,2014-03-14,6,355.40625,309.5,353.28125,331.8125,409.59375,349.375,397.6875,382.34375,356.0,351.59375,363.3125
625,2014-03-07,gurue,2014-03-08,0,1.15625,1.15625,13.09375,1.15625,1.1875,2.625,1.15625,10.90625,5.1875,1.15625,1.15625
626,2014-03-07,gurue,2014-03-09,1,9.0,2.75,19.53125,0.5625,12.125,14.875,2.59375,15.53125,11.65625,7.84375,8.0
627,2014-03-07,gurue,2014-03-10,2,8.5625,3.21875,13.65625,0.8125,10.9375,12.4375,3.40625,11.0625,9.3125,7.84375,7.375
628,2014-03-07,gurue,2014-03-11,3,5.03125,1.84375,8.0625,0.34375,6.15625,7.15625,1.9375,6.53125,5.5,4.96875,4.28125
629,2014-03-07,gurue,2014-03-12,4,2.90625,1.0625,6.0,0.21875,3.96875,4.3125,1.0625,3.84375,3.09375,2.8125,3.25
630,2014-03-07,gurue,2014-03-13,5,1.8125,0.5625,4.84375,0.15625,2.28125,2.59375,1.65625,2.625,1.96875,1.59375,2.4375
631,2014-03-07,gurue,2014-03-14,6,0.9375,0.375,3.125,0.15625,1.9375,2.15625,1.1875,12.15625,1.1875,0.8125,2.03125
632,2014-03-07,massangena,2014-03-08,0,1067.875,1067.875,1067.875,1067.9375,1067.9062,1067.8438,1067.9062,1067.9062,1067.875,1067.9062,1067.8125
633,2014-03-07,massangena,2014-03-09,1,916.78125,916.125,915.40625,919.15625,918.375,915.46875,920.46875,917.09375,918.21875,916.90625,915.65625
634,2014-03-07,massangena,2014-03-10,2,783.21875,776.5,771.875,804.0,788.84375,773.09375,824.21875,783.0,796.6875,791.46875,772.75
635,2014-03-07,massangena,2014-03-11,3,683.96875,652.25,648.0625,722.6875,709.875,659.0625,812.5625,677.09375,705.21875,725.96875,646.375
636,2014-03-07,massangena,2014-03-12,4,632.0,539.34375,548.96875,669.28125,724.125,624.46875,924.25,647.5,614.25,712.46875,569.90625
637,2014-03-07,massangena,2014-03-13,5,676.4375,440.875,491.625,730.8125,845.1875,699.3125,1259.75,751.3125,537.1875,785.125,616.25
638,2014-03-07,massangena,2014-03-14,6,760.46875,357.34375,537.59375,935.71875,974.28125,815.59375,1522.8125,887.03125,510.8125,869.875,656.96875
639,2014-03-07,messalo,2014-03-08,0,485.53125,485.53125,485.21875,485.3125,484.78125,484.65625,486.4375,486.90625,484.46875,485.75,484.875
640,2014-03-07,messalo,2014-03-09,1,480.71875,486.0,476.71875,473.0625,472.0625,471.15625,488.96875,487.1875,464.25,481.4375,482.0
641,2014-03-07,messalo,2014-03-13,5,438.4375,405.5625,448.71875,378.46875,431.0625,442.09375,434.34375,446.96875,388.1875,440.28125,447.3125
642,2014-03-07,messalo,2014-03-14,6,402.375,369.3125,419.125,349.4375,400.5,420.0625,402.5625,417.25,362.40625,407.65625,413.25
643,2014-03-07,mocuba,2014-03-08,0,112.4375,112.03125,188.46875,112.0,111.96875,118.59375,112.03125,156.625,113.9375,111.96875,112.0
644,2014-03-07,mocuba,2014-03-09,1,103.5625,95.375,696.96875,94.90625,99.3125,201.875,108.6875,561.21875,124.375,96.5,95.78125
645,2014-03-07,mocuba,2014-03-10,2,137.40625,83.75,1013.84375,79.71875,122.125,455.59375,202.03125,889.4375,164.03125,115.03125,87.4375
646,2014-03-07,mocuba,2014-03-11,3,175.21875,72.21875,855.8125,62.96875,164.4375,460.03125,266.96875,806.0625,140.9375,200.0,85.5625
647,2014-03-07,mocuba,2014-03-12,4,135.46875,60.78125,545.21875,50.34375,127.59375,297.09375,188.53125,561.46875,97.8125,200.53125,81.21875
648,2014-03-07,mocuba,2014-03-13,5,89.90625,49.5,335.125,41.84375,84.15625,181.5,120.0625,344.75,68.25,134.9375,80.03125
649,2014-03-07,mocuba,2014-03-14,6,62.4375,40.5,223.90625,35.90625,60.21875,123.71875,83.84375,258.65625,53.9375,86.84375,74.53125
650,2014-03-07,nairoto,2014-03-13,5,251.5625,231.6875,265.71875,218.5625,248.15625,249.65625,241.0,256.375,230.15625,237.34375,252.0
651,2014-03-07,nairoto,2014-03-14,6,229.53125,210.625,247.46875,202.5625,231.03125,233.71875,221.75,237.46875,217.0,219.5,233.125
652,2014-03-07,revue,2014-03-08,0,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875,16.1875
653,2014-03-07,revue,2014-03-09,1,14.75,14.71875,14.71875,14.90625,14.71875,14.71875,14.90625,14.84375,14.9375,14.71875,14.71875
654,2014-03-07,revue,2014-03-13,5,11.78125,10.375,13.5,10.78125,11.71875,13.71875,20.375,19.875,11.09375,11.46875,10.6875
655,2014-03-07,revue,2014-03-14,6,10.84375,9.40625,12.8125,9.84375,11.125,12.84375,19.375,17.75,11.34375,10.65625,10.125
3321,2014-03-07,chire_em_megaza_mutamba,2014-03-08,0,1808.2812,1808.0625,1808.5,1807.8125,1808.5312,1808.0625,1808.9375,1809.4062,1808.625,1807.875,1808.0625
3322,2014-03-07,chire_em_megaza_mutamba,2014-03-09,1,1791.75,1788.6562,1796.625,1787.4375,1792.7188,1791.9375,1798.7812,1803.25,1794.375,1788.5938,1789.9062
3323,2014-03-07,chire_em_megaza_mutamba,2014-03-10,2,1775.7812,1763.9375,1797.8438,1762.375,1776.7188,1783.5312,1800.0625,1808.25,1778.0938,1768.875,1769.875
3324,2014-03-07,chire_em_megaza_mutamba,2014-03-11,3,1760.0,1741.4688,1791.3125,1739.8125,1759.0625,1771.625,1799.1562,1813.4688,1758.7188,1754.5938,1749.9375
3325,2014-03-07,chire_em_megaza_mutamba,2014-03-12,4,1741.9062,1720.9375,1775.1562,1719.4062,1737.9688,1752.1562,1784.2812,1813.875,1738.375,1739.0625,1730.1875
3326,2014-03-07,chire_em_megaza_mutamba,2014-03-13,5,1724.3438,1702.4062,1758.125,1702.5,1718.1562,1732.2188,1764.0625,1809.4375,1720.5312,1723.0312,1714.375
3327,2014-03-07,chire_em_megaza_mutamba,2014-03-14,6,1708.2812,1686.2812,1741.3438,1689.0312,1702.1562,1715.9688,1746.0625,1800.75,1707.25,1708.125,1701.8438
3328,2014-03-07,chire_em_vila_bocage,2014-03-08,0,1812.9062,1812.8125,1813.0,1812.7188,1813.0312,1812.875,1813.0938,1813.2188,1813.0312,1812.75,1812.875
3329,2014-03-07,chire_em_vila_bocage,2014-03-09,1,1799.6562,1798.1875,1801.7188,1797.375,1800.375,1799.3125,1803.2188,1805.8438,1801.1562,1797.9062,1798.625
3330,2014-03-07,chire_em_vila_bocage,2014-03-10,2,1782.625,1774.625,1797.0938,1773.125,1783.6562,1786.9062,1798.9062,1805.9688,1785.4375,1777.0312,1778.5625
3331,2014-03-07,chire_em_vila_bocage,2014-03-11,3,1767.25,1751.0938,1795.7812,1749.4688,1767.2188,1777.8438,1800.8438,1812.375,1767.4062,1760.8125,1758.7812
3332,2014-03-07,chire_em_vila_bocage,2014-03-12,4,1749.9375,1729.7812,1782.5,1728.1562,1747.25,1760.9375,1791.5625,1814.2812,1747.1875,1746.0938,1738.7188
3333,2014-03-07,chire_em_vila_bocage,2014-03-13,5,1732.0,1710.3125,1765.6875,1709.5938,1726.5938,1740.8125,1772.7812,1812.1875,1728.0312,1729.9375,1721.0625
