date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2010-01-15,Wheat flour - Retail,KG,cereals and tubers,500.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2010-02-15,Wheat flour - Retail,KG,cereals and tubers,480.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2010-03-15,Wheat flour - Retail,KG,cereals and tubers,480.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2010-04-15,Wheat flour - Retail,KG,cereals and tubers,430.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2010-05-15,Wheat flour - Retail,KG,cereals and tubers,390.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2010-06-15,Wheat flour - Retail,KG,cereals and tubers,390.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2010-07-15,Wheat flour - Retail,KG,cereals and tubers,400.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2010-08-15,Wheat flour - Retail,KG,cereals and tubers,760.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2010-09-15,Wheat flour - Retail,KG,cereals and tubers,700.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2010-10-15,Wheat flour - Retail,KG,cereals and tubers,780.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2010-11-15,Wheat flour - Retail,KG,cereals and tubers,780.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2010-12-15,Wheat flour - Retail,KG,cereals and tubers,780.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2011-01-15,Wheat flour - Retail,KG,cereals and tubers,720.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2011-02-15,Wheat flour - Retail,KG,cereals and tubers,720.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2011-03-15,Wheat flour - Retail,KG,cereals and tubers,700.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2011-04-15,Wheat flour - Retail,KG,cereals and tubers,580.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2011-05-15,Wheat flour - Retail,KG,cereals and tubers,560.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2011-06-15,Wheat flour - Retail,KG,cereals and tubers,560.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2011-07-15,Wheat flour - Retail,KG,cereals and tubers,600.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2011-08-15,Wheat flour - Retail,KG,cereals and tubers,580.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2011-09-15,Wheat flour - Retail,KG,cereals and tubers,540.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2011-10-15,Wheat flour - Retail,KG,cereals and tubers,490.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2011-11-15,Wheat flour - Retail,KG,cereals and tubers,530.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2011-12-15,Wheat flour - Retail,KG,cereals and tubers,520.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2012-01-15,Wheat flour - Retail,KG,cereals and tubers,540.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2012-02-15,Wheat flour - Retail,KG,cereals and tubers,540.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2012-03-15,Wheat flour - Retail,KG,cereals and tubers,540.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2012-04-15,Wheat flour - Retail,KG,cereals and tubers,580.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2012-05-15,Wheat flour - Retail,KG,cereals and tubers,580.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2012-06-15,Wheat flour - Retail,KG,cereals and tubers,700.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2012-07-15,Wheat flour - Retail,KG,cereals and tubers,700.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2012-08-15,Wheat flour - Retail,KG,cereals and tubers,780.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2012-09-15,Wheat flour - Retail,KG,cereals and tubers,800.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2012-10-15,Wheat flour - Retail,KG,cereals and tubers,800.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2012-11-15,Wheat flour - Retail,KG,cereals and tubers,760.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2012-12-15,Wheat flour - Retail,KG,cereals and tubers,760.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2013-01-15,Wheat flour - Retail,KG,cereals and tubers,720.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2013-02-15,Wheat flour - Retail,KG,cereals and tubers,700.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2013-03-15,Wheat flour - Retail,KG,cereals and tubers,700.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2013-04-15,Wheat flour - Retail,KG,cereals and tubers,700.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2013-05-15,Wheat flour - Retail,KG,cereals and tubers,683.33,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2013-06-15,Wheat flour - Retail,KG,cereals and tubers,700.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2013-07-15,Wheat flour - Retail,KG,cereals and tubers,696.67,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2013-08-15,Wheat flour - Retail,KG,cereals and tubers,700.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2013-09-15,Wheat flour - Retail,KG,cereals and tubers,720.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2013-10-15,Wheat flour - Retail,KG,cereals and tubers,720.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2013-11-15,Wheat flour - Retail,KG,cereals and tubers,760.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2013-12-15,Wheat flour - Retail,KG,cereals and tubers,760.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2014-01-15,Wheat flour - Retail,KG,cereals and tubers,753.33,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2014-02-15,Wheat flour - Retail,KG,cereals and tubers,760.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2014-03-15,Wheat flour - Retail,KG,cereals and tubers,760.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
2014-04-15,Wheat flour - Retail,KG,cereals and tubers,860.0,MNT,Mongolia,Bayan-O'lgii,2076,Bayan-Ulgii,2568,58,15,5,1,2568_58_15_5,
